,Unnamed: 0,childAffix,parAffix,depRel,prec,sinPath,dblPath
0,0,a,alli,r6,0.9318181818181818,NIL,NIL
1,1,a,galYu,r6,0.9712460063897764,NIL,NIL
2,2,an,0,r6,0.8823529411764706,NIL,NIL
3,3,annu,A,k2,0.9612403100775194,NIL,NIL
4,4,annu,Aga,k2,1.0,NIL,NIL
5,5,annu,Agu,k2,0.971830985915493,NIL,NIL
6,6,annu,Md,k2,0.9642857142857144,NIL,NIL
7,7,annu,a,k2,0.9840425531914894,NIL,NIL
8,8,annu,al,k2,0.981651376146789,NIL,NIL
9,9,annu,ar,k2,0.975206611570248,NIL,NIL
10,10,annu,av,k2,1.0,NIL,NIL
11,11,annu,ax,k2,0.9583333333333334,NIL,NIL
12,12,annu,bahuxu,k2,0.9791666666666666,NIL,NIL
13,13,annu,beku,k2,1.0,NIL,NIL
14,14,annu,e,k2,0.8928571428571429,NIL,NIL
15,15,annu,eV,k2,0.9506726457399104,NIL,NIL
16,16,annu,eVx,k2,0.975609756097561,NIL,NIL
17,17,annu,eVy,k2,1.0,NIL,NIL
18,18,annu,i,k2,0.9822222222222222,NIL,NIL
19,19,annu,iru,k2,0.9739130434782608,NIL,NIL
20,20,annu,is,k2,0.9955555555555556,NIL,NIL
21,21,annu,iw,k2,1.0,NIL,NIL
22,22,annu,ix,k2,1.0,NIL,NIL
23,23,annu,iy,k2,0.975,NIL,NIL
24,24,annu,koVlYlYu,k2,0.9583333333333334,NIL,NIL
25,25,annu,tt,k2,1.0,NIL,NIL
26,26,annu,u,k2,0.9882154882154882,NIL,NIL
27,27,annu,uv,k2,0.994011976047904,NIL,NIL
28,28,annu,uww,k2,0.9527027027027029,NIL,NIL
29,29,annu,ux,k2,0.9883720930232558,NIL,NIL
30,30,annu,x,k2,0.9787234042553192,NIL,NIL
31,31,annu,xx,k2,0.918918918918919,NIL,NIL
32,32,ar,galYu,r6,0.8666666666666667,NIL,NIL
33,33,ax,alli,r6,0.9,NIL,NIL
34,34,ax,annu,r6,0.9489795918367347,NIL,NIL
35,35,ax,galYu,r6,0.9338842975206612,NIL,NIL
36,36,ax,iMxa,r6,0.8571428571428571,NIL,NIL
37,37,ax,in,r6,0.9090909090909092,NIL,NIL
38,38,eVx,u,vmod,0.9090909090909092,NIL,NIL
39,39,eVy,annu,r6,0.9032258064516128,NIL,NIL
40,40,eVy,galYu,r6,0.875,NIL,NIL
41,41,galYu,0,r6,0.8155339805825242,NIL,NIL
42,42,galYu,alli,r6,0.9090909090909092,NIL,NIL
43,43,galYu,annu,r6,0.8918918918918919,NIL,NIL
44,44,galYu,galYu,r6,0.9090909090909092,NIL,NIL
45,45,in,0,r6,0.9473684210526316,NIL,NIL
46,46,in,alli,r6,0.8214285714285714,NIL,NIL
47,47,in,annu,r6,0.9298245614035088,NIL,NIL
48,48,in,av,r6,0.9545454545454546,NIL,NIL
49,49,in,galYu,r6,0.8918918918918919,NIL,NIL
50,50,in,iy,r6,0.8148148148148148,NIL,NIL
51,51,iru,0,nmod,0.8333333333333334,NIL,NIL
52,52,is,0,nmod,0.896551724137931,NIL,NIL
53,53,iy,galYu,r6,0.9428571428571428,NIL,NIL
54,54,mm,0,r6,1.0,NIL,NIL
55,55,nn,0,r6,0.9428571428571428,NIL,NIL
56,56,nn,a,r6,0.8552631578947368,NIL,NIL
57,57,nn,annu,r6,1.0,NIL,NIL
58,58,u,galYu,nmod,0.875,NIL,NIL
59,59,uv,0,nmod,0.874251497005988,NIL,NIL
60,60,uv,annu,nmod,0.981132075471698,NIL,NIL
